Nazr Mohammed,3,5,0,0,2,2,4,0,0,0,3,8,2016,0,6,4
Mitch McGary,11,23,0,4,4,10,18,3,1,2,7,26,2016,0,7.4,10
Enes Kanter,414,719,10,21,200,251,664,33,26,33,115,1038,2016,8.1,24,166
Serge Ibaka,416,869,60,184,91,121,533,66,38,148,108,983,2016,5.5,13.9,211
Josh Huestis,5,12,4,6,0,4,10,0,1,2,3,14,2016,0,6.7,3
Kevin Durant,698,1381,186,480,447,498,589,361,69,85,250,2029,2016,14.5,28.2,137
Nick Collison,50,109,0,2,23,33,171,52,15,16,50,123,2016,0.8,7.7,107
Steven Adams,261,426,0,0,114,196,533,62,42,89,84,636,2016,6.5,15.5,223
C.J. Watson,47,137,14,48,34,39,66,88,19,5,25,142,2016,0.6,8.6,49
Nikola Vucevic,533,1046,2,9,113,150,575,179,53,70,123,1181,2016,5.2,21,173
Jason Smith,244,503,4,16,54,67,219,62,33,65,57,546,2016,1.8,14.6,163
Elfrid Payton,318,730,30,92,112,190,261,468,89,20,177,778,2016,2.2,13.9,159
Victor Oladipo,425,970,98,282,205,247,345,282,116,54,153,1153,2016,4.9,16.7,174
Andrew Nicholson,146,310,41,114,51,65,201,25,10,22,41,384,2016,1.6,14.8,69
Shabazz Napier,68,201,34,104,33,45,55,97,23,1,46,203,2016,0.1,9.6,38
Devyn Marble,21,71,8,32,10,24,38,12,13,1,7,60,2016,-0.1,5.2,25
